"sdg_goal","indicator_number","indicator_name","target_name","current_year","current_value","computation_units","progress_status"
"1","1.1.1","Poverty rate, as measured by Canada’s official poverty line","By 2030, a 50% reduction in the rate of poverty, compared to the 2015 level",2023,10.2,"Percentage","On track"
"1","1.2.1","Prevalence of asset resilience","No specific target",2023,71.4,"Percentage","Progress made but acceleration needed"
"1","1.3.1","Debt to disposable income ratio","No specific target",2024,170.2,"Percentage","Progress made but acceleration needed"
"1","1.4.1","Median household after-tax income","No specific target",2023,74200,NA,"Progress made but acceleration needed"
"2","2.1.1","Prevalence of food insecurity","No specific target",2023,19.1,"Percentage","Deterioration"
"2","2.2.1","Index of Agri-Environmental Sustainability","By 2030, support improvement in the environmental performance of the agriculture sector by achieving a score of 71 or higher for the Index of Agri-Environmental Sustainability",2021,64,"Index value","Deterioration"
"3","3.1.1","Percentage of Canadians who report eating fruits and vegetables 5 or more times per day","No specific target",2023,21.6,"Percentage","Deterioration"
"3","3.2.1","Percentage of youth (aged 12 to 17) who have used an e-cigarette in the past 30 days","By 2025, less than 10% of youth (aged 12 to 17) have used an e-cigarette in the past 30 days",2019,13.2,"Percentage","Not available"
"3","3.3.1","Proportion of the population living with obesity","Halt the rise in obesity from the 2010 baseline",2024,29.9,"Percentage","Deterioration"
"3","3.4.1","Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol","By March 31, 2025, pure alcohol sales per person (aged 15 years and older) in a year are 8.0 litres or less",2023,7.3,"Number of litres of pure alcohol sales per person aged 15 years and older in a year","Target achieved"
"3","3.5.1","Proportion of Canadians meeting the 2020 Canadian physical activity guidelines","No specific target",NA,NA,"Percentage","On track"
"3","3.6.1","Percentage of Canadians who are satisfied or very satisfied with their life","No specific target",2024,83.6,"Percentage","Deterioration"
"3","3.7.1","Percentage of Canadians who perceived their overall health as very good to excellent","No specific target",2024,52,"Percentage","Deterioration"
"3","3.8.1","Percentage of Canadians who perceived their mental health as very good to excellent","No specific target",2024,53.7,"Percentage","Deterioration"
"3","3.9.1","Vaccination rates for selected diseases","By 2025, 95% coverage of all childhood vaccines and 90% coverage of all adolescent vaccines",NA,NA,"Percentage","Limited progress"
"3","3.10.1","Incidence of selected diseases","No specific target",NA,NA,"Rate per 100,000 population","Limited progress"
"3","3.11.1","Mortality rate for selected causes of death","No specific target",NA,NA,"Rate per 100,000 population","Progress made but acceleration needed"
"3","3.12.1","Tuberculosis incidence per 100,000 population in Inuit Nunangat","Eliminate tuberculosis across Inuit Nunangat by 2030, and reducing the incidence of active tuberculosis by at least 50% by 2025",2023,231.9,"Number per 100,000 population","Deterioration"
"3","3.13.1","Rate of apparent opioid toxicity deaths per 100,000 population","By March 31, 2028, reduce the rate of apparent opioid toxicity deaths to 10 per 100,000 population",2024,17.7,"Crude rate per 100,000 population","Deterioration"
"3","3.14.1","Percentage of Canadians (aged 18+) who currently smoke cigarettes","By 2035, less than 5% of Canadians (aged 18+) smoke cigarettes",2024,11.1,"Percentage","Progress made but acceleration needed"
"3","3.15.1","Proportion of persons with unmet health care needs","No specific target",2023,9.1,"Percentage","Deterioration"
"4","4.1.1","High school completion rate","No specific target",2021,81.954805055328,"Percentage","Progress made but acceleration needed"
"4","4.2.1"," Post-secondary education attainment rate","No specific target",2024,65,"Percentage","On track"
"4","4.3.1","Proportion of children aged 0 to 5 years who use any forms of early learning and child care services","No specific target",2025,57.7,"Percentage","Deterioration"
"5","5.1.1","Proportion of the population who self-reported being sexually assaulted in the last 12 months","Fewer women are victims of intimate partner violence and sexual assault",NA,NA,"Percentage","Not available"
"5","5.2.1","Proportion of women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the last 12 months","By 2026, reduce self-reported rates of intimate partner violence by up to 5%, compared to 2018",2018,12.1,"Percentage","Not available"
"5","5.3.1","Proportion of leadership roles held by women","Greater representation of women in leadership roles",NA,NA,"Percentage","Progress made but acceleration needed"
"5","5.4.1","Proportion of time spent on unpaid domestic and care work","Equal sharing of parenting roles and family responsibilities",NA,NA,"Percentage","Limited progress"
"5","5.5.1","Median hourly gender wage ratio","No specific target",2024,0.88,"Number","Progress made but acceleration needed"
"6","6.1.1","Number of long-term drinking water advisories on public systems on reserves","All of the long-term drinking water advisories on public systems on reserve are to be resolved",2023,29,"Number","Limited progress"
"6","6.2.1","Percentage of municipalities across Canada with sustained drinking water advisories","No specific target",2022,4.2,"Percentage","Deterioration"
"6","6.3.1","Water use growth rate","No specific target",NA,NA,"Percentage, cubic metres","Deterioration"
"6","6.4.1","Water quality in Canadian rivers","No specific target",NA,NA,"Percentage or Number of sites","Not available"
"6","6.5.1","Percentage of wastewater systems on reserves where effluent quality standards are achieved","By March 2030, 85% of wastewater systems on reserves achieve effluent quality standards",2022,66.7,"Percentage","Deterioration"
"6","6.6.1","Percentage of wastewater systems in Canada where effluent quality standards are achieved","By December 2040, 100% of wastewater systems in Canada achieve effluent quality standards",2022,76.8,"Percentage","Deterioration"
"7","7.1.1","Total annual energy savings resulting from adoption of energy efficiency codes, standards and practices","By 2030, 600 petajoules of total annual energy savings will be achieved as a result of adoption of energy efficiency codes, standards and practices from a baseline savings of 20.0 petajoules in 2017 to 2018",2023,124.2,"Petajoules","Not available"
"7","7.2.1","Proportion of electricity generated from renewable and other non-greenhouse gas emitting sources","By 2030, 90% of Canada's electricity is generated from renewable and other non-emitting sources, on the path towards a net zero electricity system in the long-term",2024,79.398,"Percentage","Deterioration"
"7","7.3.1","Total energy consumption per capita","No specific target",2024,0.21,"Terajoules per capita","Progress made but acceleration needed"
"8","8.1.1","Unemployment rate","No specific target",2024,6.3,"Percentage","Progress made but acceleration needed"
"8","8.2.1","Employment rate","No specific target",2024,61.3,"Percentage","Deterioration"
"8","8.3.1","Proportion of youth not in education, employment or training","No specific target",2025,12,"Percentage","Progress made but acceleration needed"
"8","8.4.1","Rate of involuntary part-time work","No specific target",2024,17.81,"Percentage","On track"
"8","8.5.1","Gross domestic product per capita","No specific target",2024,59529,"Dollars","Limited progress"
"8","8.6.1","Jobs in the clean technology products sector","Achieve a 25% growth in jobs in the clean technology products sector from 2015 to 2026",2024,224062,"Number","Progress made but acceleration needed"
"9","9.1.1","Proportion of enterprises that introduced innovations with environmental benefits","No specific target",2020,46.5,"Percentage","Deterioration"
"9","9.2.1","Gross domestic expenditure on research and development intensity","No specific target",2023,1.8,"Percentage","Progress made but acceleration needed"
"9","9.3.1","Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps","By 2026, 98% Canadians have access to Internet at speeds of 50 Mbps download / 10 Mbps upload, with the goal of connecting all Canadians to these speeds by 2030",2024,96.4,"Percentage","On track"
"9","9.4.1","Proportion of Canadians that have access to the latest generally deployed mobile wireless technology","Improved access to the latest mobile wireless services",2022,99.7,"Percentage","On track"
"9","9.5.1","Greenhouse gas emissions per dollar of value-added from the production of infrastructure assets","No specific target",2024,0.1645,"Tonnes per thousand dollars","On track"
