"odd_objectif","indicateur_nombre","indicateur_nom","cible_nom","année_courante","valeure_courante","unité_calcul","statut_progrès"
"1","1.1.1","Taux de pauvreté basé sur le seuil officiel de la pauvreté au Canada","D’ici 2030, réduction de 50 % du taux de pauvreté, par rapport au niveau de 2015",2023,10.2,"Pourcentage","Sur la bonne voie"
"1","1.2.1","Prévalence de la résilience sur le plan des actifs","Pas de cible spécifique",2023,71.4,"Pourcentage","Des progrès ont été réalisés, mais une accélération est nécessaire"
"1","1.3.1","Dette en proportion du revenu disponible","Pas de cible spécifique",2024,170.2,"Pourcentage","Des progrès ont été réalisés, mais une accélération est nécessaire"
"1","1.4.1","Revenu médian après impôt des ménages","Pas de cible spécifique",2023,74200,NA,"Des progrès ont été réalisés, mais une accélération est nécessaire"
"2","2.1.1","Prévalence de l'insécurité alimentaire","Pas de cible spécifique",2023,19.1,"Pourcentage","Détérioration"
"2","2.2.1","Indices de durabilité agroenvironnementale","D'ici 2030, favoriser l'amélioration des performances environnementales du secteur agricole en obtenant un score de 71 ou plus pour l'indice de durabilité agroenvironnementale",2021,64,"Indice","Détérioration"
"3","3.1.1","Pourcentage des Canadiens déclarant consommer des fruits et des légumes au moins 5 fois par jour","Pas de cible spécifique",2023,21.6,"Pourcentage","Détérioration"
"3","3.2.1","Pourcentage des jeunes (âgé de 12 à 17 ans) qui ont utilisé des cigarettes électroniques dans les derniers 30 jours","D’ici 2025, moins de 10 % des jeunes (âgé de 12 à 17 ans) ont utilisé des cigarettes électroniques dans les derniers 30 jours",2019,13.2,"Pourcentage","Non disponible"
"3","3.3.1","Proportion de la population vivant avec l'obésité","Arrêter la progression de l'obésité par rapport au niveau de référence de 2010",2024,29.9,"Pourcentage","Détérioration"
"3","3.4.1","Consommation d'alcool par habitant (âgé de 15 ans et plus) au cours d'une année civile, en litres d'alcool pur","D'ici au 31 mars 2025, les ventes d'alcool pur par personne (âgée de 15 ans et plus) au cours d'une année sont inférieures ou égales à 8,0 litres",2023,7.3,"Nombre de litres d'alcool pur vendus par personne âgée de 15 ans et plus au cours d'une année","Cible atteinte"
"3","3.5.1","Proportion des Canadiens qui rencontre les Directives canadiennes en matière d'activité physique 2020","Pas de cible spécifique",NA,NA,"Pourcentage","Sur la bonne voie"
"3","3.6.1","Pourcentage des Canadiens qui sont satisfaits ou très satisfaits à l’égard de la vie","Pas de cible spécifique",2024,83.6,"Pourcentage","Détérioration"
"3","3.7.1","Pourcentage des Canadiens qui perçoivent leur santé comme très bonne ou excellente","Pas de cible spécifique",2024,52,"Pourcentage","Détérioration"
"3","3.8.1","Pourcentage des Canadiens qui perçoivent leur santé mentale comme très bonne ou excellente","Pas de cible spécifique",2024,53.7,"Pourcentage","Détérioration"
"3","3.9.1","Taux de vaccination pour certaines maladies","D'ici 2025, 95 % de couverture pour tous les vaccins pour nourrissons et enfants et 90 % de couverture pour tous les vaccins pour adolescents",NA,NA,"Pourcentage","Progrès limités"
"3","3.10.1","Incidence de certaines maladies","Pas de cible spécifique",NA,NA,"Taux pour 100 000","Progrès limités"
"3","3.11.1","Taux de mortalité pour certaines causes de décès","Pas de cible spécifique",NA,NA,"Taux pour 100 000 personnes","Des progrès ont été réalisés, mais une accélération est nécessaire"
"3","3.12.1","Incidence de la tuberculose par 100 000 habitants dans l’Inuit Nunangat","Éliminer la tuberculose à l’échelle de l’Inuit Nunangat d’ici 2030, et réduire l’incidence de la tuberculose active d’au moins 50 % d’ici 2025",2023,231.9,"Taux d’incidence par 100 000 habitants","Détérioration"
"3","3.13.1","Taux de décès apparemment liés à la toxicité des opioïdes par 100 000 habitants","D'ici au 31 mars 2028, réduire le taux de décès apparemment liés à la toxicité des opioïdes à 10 par 100 000 habitants",2024,17.7,"Taux brut par 100 000 habitants","Détérioration"
"3","3.14.1","Pourcentage des Canadiens (âgés de 18 ans et plus) qui fument actuellement des cigarettes","D’ici 2035, moins de 5 % des Canadiens (âgés de 18 ans et plus) fument la cigarette",2024,11.1,"Pourcentage","Des progrès ont été réalisés, mais une accélération est nécessaire"
"3","3.15.1","Proportion de personnes ayant des besoins de soins de santé non satisfaits","Pas de cible spécifique",2023,9.1,"Pourcentage","Détérioration"
"4","4.1.1","Taux d'achèvement des études secondaires","Pas de cible spécifique",2021,81.954805055328,"Pourcentage","Des progrès ont été réalisés, mais une accélération est nécessaire"
"4","4.2.1","Taux de scolarité au niveau postsecondaire","Pas de cible spécifique",2024,65,"Pourcentage","Sur la bonne voie"
"4","4.3.1","Proportion d’enfants âgés de 0 à 5 ans ayant recours aux services d'apprentissage et de garde des jeunes enfants","Pas de cible spécifique",2025,57.7,"Pourcentage","Détérioration"
